,nl,code
7633,call the method __init__ form the base class of the Command class.,"super ( Command , self ) . __init__ ( )"
7634,from django.conf import settings into default name space.,from django . conf import settings
7635,"while end is greater than integer 0 and return value of the s.count called with 3 arguments: an empty string, integer 0 and end,","while end > 0 and s . count ( b'""' , 0 , end ) % 2 :"
7636,"called with an argument value under the 'updateddate' key of the item dictionary. if value under the 'author_name' key of the item dictionary is not None,",if item [ 'author_name' ] is not None :
7637,"call the method __init__ from the base class of the class RendererMixin, with 2 arguments: unpacked list args,","super ( RendererMixin , self ) . __init__ ( * args , ** kwargs )"
7638,"help is an string ""Creates the tables needed to use the SQL cache backend."".","help = ""Creates the tables needed to use the SQL cache backend."""
7639,"if value is an instance of datetime.time,","if isinstance ( value , datetime . time ) :"
7640,"call the method self.__cast, if the result is lesser than other, return boolean True, otherwise return boolean False.",return self . __cast ( ) < other
7641,define the function int_to_base36 with an argument i.,def int_to_base36 ( i ) :
7642,"if print_ is None,",if print_ is None :
7643,raise an exception.,raise
7644,call the method self.indent with argument integer 2.,self . indent ( 2 )
7645,define the __init__ method with argument self.,def __init__ ( self ) :
7646,call the function sys.exit with argument exit_code.,sys . exit ( exit_code )
7647,errors is an empty list.,errors = [ ]
7648,"call the function force_text with an argument output, substitute the result for output.",output = force_text ( output )
7649,self.GET is an instance of QueryDict class created with an argument mutable set to boolean True.,self . GET = QueryDict ( mutable = True )
7650,"if KeyError exception is caught,",except KeyError :
7651,"call the method token_string.count with an argument '\n', append the result to self.lineno.",self . lineno += token_string . count ( '\n' )
7652,"substitute setting and nodelist for self.setting and self.nodelist, respectively.","self . setting , self . nodelist = setting , nodelist"
7653,"call the function timedelta with an argument seconds as negative time.timezone, return the result.",return timedelta ( seconds = - time . timezone )
7654,"append string '-_' to the BASE62_ALPHABET, substitute it for BASE64_ALPHABET.",BASE64_ALPHABET = BASE62_ALPHABET + '-_'
7655,call the method cls.__dict__.copy substitute the result for orig_vars.,orig_vars = cls . __dict__ . copy ( )
7656,"slice the rawdata to obtain substring from i-th to j-th element, use it as the argument for the method call to the self.handle_data.",self . handle_data ( rawdata [ i : j ] )
7657,from django.apps import apps into default name space.,from django . apps import apps
7658,"if not,",else :
7659,"remove element under '_data' key of obj_dict dictionary, if it exists substitute it for data, if not data is an empty list.","data = obj_dict . pop ( '_data' , { } )"
7660,"if secret is None,",if secret is None :
7661,call the method __init__ from the base class of the class SortedDict.,"super ( SortedDict , self ) . __init__ ( )"
7662,return self.,return self
7663,mail.outbox is an empty list.,mail . outbox = [ ]
7664,"join elements of name into a string, substitute it for param.",param = '' . join ( name )
7665,"return an empty string,",return ''
7666,define the method create_var with 2 arguments: self and value.,"def create_var ( self , value ) :"
7667,from django.utils.deprecation import RemovedInDjango19Warning into default name space.,from django . utils . deprecation import RemovedInDjango19Warning
7668,"define the method render with 4 arguments: self, name, value and attrs set to None.","def render ( self , name , value , attrs = None ) :"
7669,"call the datetime.datetime.utcfromtimestamp with timestamp converted to an integer as argument, substitute result for timestamp.",timestamp = datetime . datetime . utcfromtimestamp ( int ( timestamp ) )
7670,"where '%s' is replaced with migration_name and app_label. if KeyError exception is caught,",except KeyError :
7671,"call the method parser.expression with an argument bp, substitute the result for self.first.",self . first = parser . expression ( bp )
7672,define the method __getitem__ with 2 arguments: self and key.,"def __getitem__ ( self , key ) :"
7673,value under the resultclass key of the cls.__dispatch dictionary is an empty dictionary.,cls . __dispatch [ resultclass ] = { }
7674,"get 'value' attribute of the _active object, if it exists substitute it for t, if not t is None.","t = getattr ( _active , ""value"" , None )"
7675,from itertools import groupby and cycle as itertools_cycle into default name space.,"from itertools import groupby , cycle as itertools_cycle"
7676,derive the LabelCommand class from the BaseCommand base class.,class LabelCommand ( BaseCommand ) :
7677,"if obj_pk is not None,",if obj_pk is not None :
7678,"if attachment is an instance of MIMEBase,","if isinstance ( attachment , MIMEBase ) :"
7679,"join statements into a string, separated by newlines, return it.",return '\n' . join ( statements )
7680,substitute DNS_NAME for idhost.,idhost = DNS_NAME
7681,"call the method sys.stderr.write with an argument string ""fork #1 failed: (%d) %s\n"", formated with e.errno and e.strerror.","sys . stderr . write ( ""fork #1 failed: (%d) %s\n"" % ( e . errno , e . strerror ) )"
7682,"call the method self.build_attrs with 3 arguments: attrs, type set to self.input_type, name set to name,","final_attrs = self . build_attrs ( attrs , type = self . input_type , name = name )"
7683,"call the function get_random_string with 2 arguments: integer 50 and chars, substitute it for value under the 'secret_key' of the options dictionary.","options [ 'secret_key' ] = get_random_string ( 50 , chars )"
7684,"otherwise if base_url does not ends with '/' character,",elif not base_url . endswith ( '/' ) :
7685,define the function wordwrap with 2 arguments value and arg.,"def wordwrap ( value , arg ) :"
7686,"call the method self.check,",self . check ( )
7687,"from django.utils.translation import TranslatorCommentWarning, trim_whitespace and LANGUAGE_SESSION_KEY into default name space.","from django . utils . translation import TranslatorCommentWarning , trim_whitespace , LANGUAGE_SESSION_KEY"
7688,"define the __init__ method with arguments: self, unpacked list args and unpacked dictionary kwargs.","def __init__ ( self , * args , ** kwargs ) :"
7689,"define the method __init__ with 6 arguments: self, regex, urlconf_name, default_kwargs set to None, app_name set to None and namespace set to None.","def __init__ ( self , regex , urlconf_name , default_kwargs = None , app_name = None , namespace = None ) :"
7690,"raise an MultiPartParserError with an argument string 'Invalid Content-Type: %s', where '%s' is replaced with content_type.",raise MultiPartParserError ( 'Invalid Content-Type: %s' % content_type )
7691,value under the 'debug' key of the context_extras dictionary is boolean True.,context_extras [ 'debug' ] = True
7692,"append flup_module to string ""Can't import flup."", print it to the standard output.","print ( ""Can't import flup."" + flup_module )"
7693,decorator cached_property.,@ cached_property
7694,"return a tuple with 3 elements: copyreg._reconstructor, tuple with 3 elements: self.__class__, object and None,","return ( copyreg . _reconstructor , ( self . __class__ , object , None ) , self . __getstate__ ( ) )"
7695,outdict is an empty dictionary.,outdict = { }
7696,"define the method extend_nodelist with 4 arguments: self, nodelist, node and token.","def extend_nodelist ( self , nodelist , node , token ) :"
7697,call the method update_watch.,update_watch ( )
7698,"and include_auto_created set to boolean True, call the method connection.creation.sql_indexes_for_model with arguments model and style, extend output with the result.","output . extend ( connection . creation . sql_indexes_for_model ( model , style ) )"
7699,"if value is an instance of datetime.date class,","if isinstance ( value , datetime . date ) :"
7700,"define the method load_template with 3 arguments: self, template_name and template_dirs set to None.","def load_template ( self , template_name , template_dirs = None ) :"
7701,"call the method self._populate,",self . _populate ( )
7702,self._app_dict is an empty dictionary.,self . _app_dict = { }
7703,"convert_charrefs set to convert_charrefs and dictionary **kwargs as the arguments. if not,",else :
7704,template_source_loaders is None.,template_source_loaders = None
7705,"call the method self.__cast, return the hash value of the result.",return hash ( self . __cast ( ) )
